"partition","cluster","p-value","bonferroni","holm","BH"
1,1,0.485206701385866,1,1,0.646942268514488
1,2,0.123005477494642,1,1,0.205009129157736
1,3,0.818181818181818,1,1,0.821096315061757
1,4,0.0330787325559912,0.661574651119823,0.463102255783876,0.0945106644456891
1,5,5.19849580217291e-09,1.03969916043458e-07,9.87714202412853e-08,3.46566386811527e-08
1,6,0.539298539584697,1,1,0.674123174480871
1,7,0.000585457779544059,0.0117091555908812,0.00936732447270494,0.00234183111817624
1,8,0.767795876376593,1,1,0.821096315061757
1,9,0.0752560133365087,1,0.978328173374613,0.167235585192242
1,10,0.324548174828994,1,1,0.499304884352299
2,1,2.34096540297892e-10,4.68193080595785e-09,4.68193080595785e-09,4.68193080595785e-09
2,2,0.804105381828527,1,1,0.821096315061757
2,3,5.19849580217291e-09,1.03969916043458e-07,9.87714202412853e-08,3.46566386811527e-08
2,4,6.16532295254715e-05,0.00123306459050943,0.00104810490193302,0.000308266147627358
2,5,0.0752560133365087,1,0.978328173374613,0.167235585192242
2,6,0.821096315061757,1,1,0.821096315061757
2,7,0.0998539923790228,1,1,0.181552713416405
3,1,0.00171826684220994,0.0343653368441987,0.025774002633149,0.00572755614069979
3,2,0.370882076596505,1,1,0.529831537995008
3,3,0.0915024842561973,1,1,0.181552713416405
